route_id,trip_id,trip_headsign,service_id,direction_id,shape_id,wheelchair_accessible,bikes_allowed
3,26979805,"Grenoble, Victor Hugo",12345-MEILV06_ST21_6_HI2223-MEILV07_ST21_7_HI2223,0,SEM_C3_1,1,2
3,27341807,"Grenoble, Victor Hugo",1234567-MEHS10_ST5_10_HI2223-MEHS12_ST5_12_HI2223,0,SEM_C3_1,1,2
A,27593641,"Le Pont-de-Claix, L'Etoile",12345-MEILV08_ST21_8_HI2223,0,SEM_A_3,1,2
2,27334900,"Claix, Pont Rouge",12345-MEHLV13_ST8_13_HI2223-MEHLV22_ST8_22_HI2223-MEHW13_ST11_13_HI2223-MEHW17_ST11_17_HI2223,0,SEM_C2_2,1,2
E,27167088,"Grenoble, Louise Michel",12345-MGHLV17_ST0_17_HI2223,0,SEM_E_2,1,2
A,27638623,"Le Pont-de-Claix, L'Etoile",12345-MEHLV22_ST8_22_HI2223-MEHW17_ST11_17_HI2223,0,SEM_A_3,1,2
C,27150707,"Seyssins, Le Prisme",12345-MGHLV17_ST0_17_HI2223-MGHLV33_ST0_33_HI2223,1,SEM_C_2,1,2
25,26918204,"Le Gua, Les Saillants",12345-MAVLV05_ST21_5_HI2223,0,SEM_25_1,1,2
A,27170660,"Fontaine, La Poya",12345-MEILV06_ST21_6_HI2223-MEILV07_ST21_7_HI2223,1,SEM_A_4,1,2
1,27466817,"Montbonnot-Saint-Martin, Pré de l'Eau",12345-MSHLVH05_ST8_5_HI2223,0,SEM_C1_6,1,2
1,27447632,"Meylan, Maupertuis",1234567-MSHDF06_ST6_6_HI2223-MSHDF08_ST6_8_HI2223,0,SEM_C1_2,1,2
B,27150396,"Gières, Plaine des Sports",12345-MGHLV17_ST0_17_HI2223,0,SEM_B_1,1,2
3,27154306,"Échirolles, Centre du graphisme",12345-MEHLV13_ST8_13_HI2223-MEHLV22_ST8_22_HI2223-MEHW13_ST11_13_HI2223-MEHW17_ST11_17_HI2223,1,SEM_C3_2,1,2
B,27089524,"Gières, Plaine des Sports",1234567-MGHS06_ST5_6_HI2223-MGHS08_ST5_8_HI2223,0,SEM_B_1,1,2
B,27604855,"Gières, Plaine des Sports",12345-MGHLV35_ST0_35_HI2223,0,SEM_B_1,1,2
E,27069952,"Fontanil-Cornillon, Palluel",1234567-MGHD02_ST6_2_HI2223-MGHD03_ST6_3_HI2223,1,SEM_E_1,1,2
